,Algorithm,CandidatesNum,PopulationSize,Alpha,IterationNumber,Result
472,4,5,40,0.3,15,4.6
473,4,5,40,0.3,20,5.0
474,4,5,40,0.3,25,4.6
475,4,5,40,0.3,30,4.6
476,4,5,40,0.3,35,4.8
477,4,5,40,0.3,40,4.8
478,4,5,40,0.3,45,4.4
479,4,5,40,0.3,50,4.4
480,4,5,45,0.05,5,4.8
481,4,5,45,0.05,10,4.2
482,4,5,45,0.05,15,4.6
483,4,5,45,0.05,20,4.6
484,4,5,45,0.05,25,4.0
485,4,5,45,0.05,30,4.8
486,4,5,45,0.05,35,4.6
487,4,5,45,0.05,40,4.8
488,4,5,45,0.05,45,4.0
489,4,5,45,0.05,50,4.8
490,4,5,45,0.1,5,4.4
491,4,5,45,0.1,10,5.0
492,4,5,45,0.1,15,4.4
493,4,5,45,0.1,20,4.6
494,4,5,45,0.1,25,4.4
495,4,5,45,0.1,30,4.4
496,4,5,45,0.1,35,4.6
497,4,5,45,0.1,40,4.8
498,4,5,45,0.1,45,4.8
499,4,5,45,0.1,50,4.8
500,4,5,45,0.15,5,4.4
501,4,5,45,0.15,10,4.8
502,4,5,45,0.15,15,4.8
503,4,5,45,0.15,20,5.0
504,4,5,45,0.15,25,4.4
505,4,5,45,0.15,30,4.4
506,4,5,45,0.15,35,5.0
507,4,5,45,0.15,40,5.0
508,4,5,45,0.15,45,4.6
509,4,5,45,0.15,50,4.6
510,4,5,45,0.2,5,4.8
511,4,5,45,0.2,10,4.6
512,4,5,45,0.2,15,4.4
513,4,5,45,0.2,20,4.8
514,4,5,45,0.2,25,5.0
515,4,5,45,0.2,30,4.8
516,4,5,45,0.2,35,4.8
517,4,5,45,0.2,40,4.8
518,4,5,45,0.2,45,4.6
519,4,5,45,0.2,50,4.6
520,4,5,45,0.25,5,4.8
521,4,5,45,0.25,10,5.0
522,4,5,45,0.25,15,4.4
523,4,5,45,0.25,20,4.8
524,4,5,45,0.25,25,4.8
525,4,5,45,0.25,30,4.6
526,4,5,45,0.25,35,4.8
527,4,5,45,0.25,40,4.8
528,4,5,45,0.25,45,4.4
529,4,5,45,0.25,50,5.0
530,4,5,45,0.3,5,4.2
531,4,5,45,0.3,10,4.8
532,4,5,45,0.3,15,5.0
