,Algorithm,CandidatesNum,GroupsNumber,GroupMembers,Result
718,1,470,7,5,6.0
719,1,470,7,6,7.3
720,1,490,2,2,2.0
721,1,490,2,3,3.0
722,1,490,2,4,4.0
723,1,490,2,5,5.0
724,1,490,2,6,6.0
725,1,490,3,2,2.0
726,1,490,3,3,3.0
727,1,490,3,4,4.0
728,1,490,3,5,5.1
729,1,490,3,6,6.0
730,1,490,4,2,2.0
731,1,490,4,3,3.0
732,1,490,4,4,4.2
733,1,490,4,5,5.5
734,1,490,4,6,7.0
735,1,490,5,2,2.0
736,1,490,5,3,3.1
737,1,490,5,4,4.5
738,1,490,5,5,6.0
739,1,490,5,6,6.8
740,1,490,6,2,2.0
741,1,490,6,3,3.6
742,1,490,6,4,5.0
743,1,490,6,5,6.0
744,1,490,6,6,7.2
745,1,490,7,2,2.0
746,1,490,7,3,4.0
747,1,490,7,4,5.1
748,1,490,7,5,6.2
749,1,490,7,6,7.3
750,2,10,2,2,2.6
751,2,10,2,3,3.8
752,2,10,2,4,4.8
753,2,10,2,5,6.4
754,2,10,2,6,7.4
755,2,10,3,2,3.0
756,2,10,3,3,4.3
757,2,10,3,4,6.0
758,2,10,3,5,7.1
759,2,10,3,6,8.2
760,2,10,4,2,3.3
761,2,10,4,3,5.0
762,2,10,4,4,6.7
763,2,10,4,5,8.5
764,2,10,4,6,9.3
765,2,10,5,2,3.5
766,2,10,5,3,5.7
767,2,10,5,4,6.7
768,2,10,5,5,7.9
769,2,10,5,6,9.2
770,2,10,6,2,3.5
771,2,10,6,3,5.8
772,2,10,6,4,7.1
773,2,10,6,5,8.4
774,2,10,6,6,9.4
775,2,10,7,2,3.8
776,2,10,7,3,5.8
777,2,10,7,4,8.2
778,2,10,7,5,9.1
779,2,10,7,6,9.7
780,2,30,2,2,2.6
781,2,30,2,3,3.3
782,2,30,2,4,4.8
783,2,30,2,5,6.0
784,2,30,2,6,8.0
785,2,30,3,2,2.8
786,2,30,3,3,4.5
787,2,30,3,4,6.3
788,2,30,3,5,8.5
789,2,30,3,6,9.5
790,2,30,4,2,3.2
791,2,30,4,3,5.1
792,2,30,4,4,6.3
793,2,30,4,5,8.8
794,2,30,4,6,10.7
795,2,30,5,2,3.5
796,2,30,5,3,5.4
797,2,30,5,4,7.4
798,2,30,5,5,9.0
799,2,30,5,6,11.6
800,2,30,6,2,3.7
801,2,30,6,3,5.6
802,2,30,6,4,8.1
803,2,30,6,5,10.1
804,2,30,6,6,11.6
805,2,30,7,2,3.7
806,2,30,7,3,6.4
807,2,30,7,4,7.8
808,2,30,7,5,10.4
809,2,30,7,6,12.6
810,2,50,2,2,2.3
811,2,50,2,3,3.9
812,2,50,2,4,5.6
813,2,50,2,5,6.5
814,2,50,2,6,8.3
815,2,50,3,2,2.6
816,2,50,3,3,4.3
817,2,50,3,4,6.4
818,2,50,3,5,7.9
819,2,50,3,6,9.6
820,2,50,4,2,3.1
821,2,50,4,3,5.2
822,2,50,4,4,7.2
823,2,50,4,5,8.6
824,2,50,4,6,10.9
825,2,50,5,2,3.3
826,2,50,5,3,5.9
827,2,50,5,4,7.3
828,2,50,5,5,9.4
829,2,50,5,6,11.5
830,2,50,6,2,3.6
831,2,50,6,3,5.6
832,2,50,6,4,8.3
833,2,50,6,5,9.7
834,2,50,6,6,12.3
835,2,50,7,2,3.6
836,2,50,7,3,6.2
837,2,50,7,4,7.9
838,2,50,7,5,10.7
839,2,50,7,6,12.9
840,2,70,2,2,2.5
841,2,70,2,3,4.0
842,2,70,2,4,5.1
843,2,70,2,5,6.8
844,2,70,2,6,7.9
845,2,70,3,2,2.8
846,2,70,3,3,4.3
847,2,70,3,4,6.1
848,2,70,3,5,8.1
849,2,70,3,6,9.5
850,2,70,4,2,3.3
851,2,70,4,3,5.0
852,2,70,4,4,6.9
853,2,70,4,5,8.5
854,2,70,4,6,10.0
855,2,70,5,2,3.6
856,2,70,5,3,5.0
857,2,70,5,4,7.1
858,2,70,5,5,9.9
859,2,70,5,6,11.9
860,2,70,6,2,3.8
861,2,70,6,3,5.7
862,2,70,6,4,8.2
863,2,70,6,5,9.9
864,2,70,6,6,12.3
865,2,70,7,2,4.0
866,2,70,7,3,6.2
867,2,70,7,4,8.1
868,2,70,7,5,10.9
869,2,70,7,6,13.0
870,2,90,2,2,2.3
871,2,90,2,3,3.8
872,2,90,2,4,5.3
873,2,90,2,5,6.6
874,2,90,2,6,8.0
875,2,90,3,2,2.9
876,2,90,3,3,4.4
877,2,90,3,4,6.4
878,2,90,3,5,7.7
879,2,90,3,6,9.5
880,2,90,4,2,3.1
881,2,90,4,3,5.3
882,2,90,4,4,7.0
883,2,90,4,5,8.9
884,2,90,4,6,10.6
885,2,90,5,2,3.2
886,2,90,5,3,5.2
887,2,90,5,4,7.1
888,2,90,5,5,10.0
889,2,90,5,6,12.0
890,2,90,6,2,3.7
891,2,90,6,3,5.7
892,2,90,6,4,8.2
893,2,90,6,5,10.2
894,2,90,6,6,12.3
895,2,90,7,2,3.8
896,2,90,7,3,6.4
897,2,90,7,4,8.3
898,2,90,7,5,10.4
899,2,90,7,6,13.2
900,2,110,2,2,2.5
901,2,110,2,3,4.0
902,2,110,2,4,5.1
903,2,110,2,5,7.1
904,2,110,2,6,7.9
905,2,110,3,2,2.7
906,2,110,3,3,4.2
907,2,110,3,4,6.6
908,2,110,3,5,7.9
909,2,110,3,6,9.5
910,2,110,4,2,3.2
911,2,110,4,3,5.0
912,2,110,4,4,6.8
913,2,110,4,5,8.4
914,2,110,4,6,10.9
915,2,110,5,2,3.4
916,2,110,5,3,5.0
917,2,110,5,4,7.4
918,2,110,5,5,9.3
919,2,110,5,6,11.4
920,2,110,6,2,3.9
921,2,110,6,3,5.5
922,2,110,6,4,8.2
923,2,110,6,5,9.8
924,2,110,6,6,12.8
925,2,110,7,2,4.1
926,2,110,7,3,5.8
927,2,110,7,4,7.9
928,2,110,7,5,10.5
929,2,110,7,6,12.9
930,2,130,2,2,2.8
931,2,130,2,3,3.8
932,2,130,2,4,5.3
933,2,130,2,5,6.1
934,2,130,2,6,8.1
935,2,130,3,2,3.1
936,2,130,3,3,4.4
937,2,130,3,4,5.7
938,2,130,3,5,8.1
939,2,130,3,6,9.4
940,2,130,4,2,3.0
941,2,130,4,3,5.4
942,2,130,4,4,6.9
943,2,130,4,5,8.8
944,2,130,4,6,10.8
945,2,130,5,2,3.1
946,2,130,5,3,5.4
947,2,130,5,4,7.5
948,2,130,5,5,9.3
949,2,130,5,6,11.4
950,2,130,6,2,3.4
951,2,130,6,3,5.8
952,2,130,6,4,7.9
953,2,130,6,5,10.2
954,2,130,6,6,12.2
955,2,130,7,2,3.7
956,2,130,7,3,6.0
957,2,130,7,4,8.7
958,2,130,7,5,9.9
959,2,130,7,6,12.8
960,2,150,2,2,2.3
961,2,150,2,3,3.9
962,2,150,2,4,5.4
963,2,150,2,5,6.6
964,2,150,2,6,7.9
965,2,150,3,2,3.0
966,2,150,3,3,4.3
967,2,150,3,4,6.4
968,2,150,3,5,7.4
969,2,150,3,6,10.6
970,2,150,4,2,2.9
971,2,150,4,3,4.7
972,2,150,4,4,6.9
973,2,150,4,5,8.7
974,2,150,4,6,10.1
975,2,150,5,2,3.5
976,2,150,5,3,5.1
977,2,150,5,4,7.9
978,2,150,5,5,9.4
979,2,150,5,6,10.9
980,2,150,6,2,3.6
981,2,150,6,3,5.6
982,2,150,6,4,7.8
983,2,150,6,5,10.8
984,2,150,6,6,12.3
985,2,150,7,2,3.8
986,2,150,7,3,6.1
987,2,150,7,4,8.7
